번호,품종,지역,연도,건물수량(kg/ha),연평균기온,최저기온,최고기온,고온일수,연속고온지속일수,강수량,평균 상대습도(%),합계 일조시간(hr),일조율(%),평균 풍속(m/s)
121,이탈리안 라이그라스,제주,2015,16473,16.7,-0.7,36.7,7,2,1728.3,70.9,1826.6,41.06,3
122,이탈리안 라이그라스,전주,2016,10630,14.3,-13,36.2,32,19,1117.7,72.4,2170.1,48.64,1.8
123,이탈리안 라이그라스,제주,2016,17801,17,-5.8,35.5,15,7,1416.4,71.9,1718.4,38.54,3.1
124,이탈리안 라이그라스,수원,2003,6476,12.3,-16.2,31.3,0,0,121.5,66.3,1865.3,41.9,1.8
125,이탈리안 라이그라스,수원,2004,9498,12.8,-15.9,35.1,12,5,89.5,62.6,2185.4,48.97,2.1
126,이탈리안 라이그라스,수원,2005,4720,12,-14.4,35.1,7,3,84.5,61.3,2149.4,48.27,2
127,이탈리안 라이그라스,수원,2006,6971,12.9,-13.2,35.9,13,5,169.5,62,1923.8,43.21,2.1
128,이탈리안 라이그라스,연천,2003,13125,11.1,-19.7,33,1,1,1853.5,68.4,1925,43.22,1.1
129,이탈리안 라이그라스,연천,2004,13701,11.2,-19.6,35.6,6,4,1534.5,64.2,2145.8,48.07,1.7
130,이탈리안 라이그라스,연천,2005,5513,10.3,-18,34.8,7,3,1378.2,64.6,2167.7,48.67,1.8
131,이탈리안 라이그라스,연천,2006,6309,11.2,-17.5,34.8,8,3,1360.1,66.6,1972.1,44.27,1.6
132,이탈리안 라이그라스,천안,2017,12233,11.8,-15.9,35.2,6,3,1305,64.1,2473.1,55.54,1.5
133,이탈리안 라이그라스,천안,2016,15271,12.7,-18.6,35.1,17,7,1004.8,69.9,2223.8,49.83,1.5
134,이탈리안 라이그라스,천안,2018,13338,11.8,-20.6,37.8,31,22,1163.4,65.3,2396.4,53.81,1.6
