번호,품종,지역,연도,건물수량(kg/ha),연평균기온,최저기온,최고기온,고온일수,연속고온지속일수,강수량,평균 상대습도(%),합계 일조시간(hr),일조율(%),평균 풍속(m/s)
732,목초,수원,1983,10160,11.4,-16.4,33.4,3,3,942.4,74.2,2270.4,51.02,1.5
733,목초,수원,1983,11150,11.4,-16.4,33.4,3,3,942.4,74.2,2270.4,51.02,1.5
734,목초,수원,1983,10071,11.4,-16.4,33.4,3,3,942.4,74.2,2270.4,51.02,1.5
735,목초,수원,1983,10372,11.4,-16.4,33.4,3,3,942.4,74.2,2270.4,51.02,1.5
736,목초,수원,1983,9446,11.4,-16.4,33.4,3,3,942.4,74.2,2270.4,51.02,1.5
737,목초,수원,1981,4847,10.1,-24.8,34.9,4,2,1331.3,75.3,2194.8,49.49,1.5
738,목초,수원,1981,4085,10.1,-24.8,34.9,4,2,1331.3,75.3,2194.8,49.49,1.5
739,목초,수원,1981,3672,10.1,-24.8,34.9,4,2,1331.3,75.3,2194.8,49.49,1.5
740,목초,수원,1981,3063,10.1,-24.8,34.9,4,2,1331.3,75.3,2194.8,49.49,1.5
741,목초,수원,1981,3116,10.1,-24.8,34.9,4,2,1331.3,75.3,2194.8,49.49,1.5
742,목초,수원,1982,4736,11.4,-15.9,34,4,2,1067.4,73.1,2413.2,54.42,1.4
743,목초,수원,1982,5054,11.4,-15.9,34,4,2,1067.4,73.1,2413.2,54.42,1.4
744,목초,수원,1982,4887,11.4,-15.9,34,4,2,1067.4,73.1,2413.2,54.42,1.4
745,목초,수원,1982,3769,11.4,-15.9,34,4,2,1067.4,73.1,2413.2,54.42,1.4
746,목초,수원,1982,3721,11.4,-15.9,34,4,2,1067.4,73.1,2413.2,54.42,1.4
747,목초,수원,1982,3377,11.4,-15.9,34,4,2,1067.4,73.1,2413.2,54.42,1.4
748,목초,수원,1983,5991,11.4,-16.4,33.4,3,3,942.4,74.2,2270.4,51.02,1.5
749,목초,수원,1983,5670,11.4,-16.4,33.4,3,3,942.4,74.2,2270.4,51.02,1.5
750,목초,수원,1983,6050,11.4,-16.4,33.4,3,3,942.4,74.2,2270.4,51.02,1.5
751,목초,수원,1983,3827,11.4,-16.4,33.4,3,3,942.4,74.2,2270.4,51.02,1.5
752,목초,수원,1983,3952,11.4,-16.4,33.4,3,3,942.4,74.2,2270.4,51.02,1.5
753,목초,수원,1983,4224,11.4,-16.4,33.4,3,3,942.4,74.2,2270.4,51.02,1.5
754,목초,수원,1983,6850,11.4,-16.4,33.4,3,3,942.4,74.2,2270.4,51.02,1.5
755,목초,수원,1983,7070,11.4,-16.4,33.4,3,3,942.4,74.2,2270.4,51.02,1.5
756,목초,수원,1983,7040,11.4,-16.4,33.4,3,3,942.4,74.2,2270.4,51.02,1.5
757,목초,수원,1983,6560,11.4,-16.4,33.4,3,3,942.4,74.2,2270.4,51.02,1.5
758,목초,수원,1983,7530,11.4,-16.4,33.4,3,3,942.4,74.2,2270.4,51.02,1.5
759,목초,수원,1984,12800,10.8,-17.9,34.4,8,2,1172.8,72.6,2347.5,52.65,1.6
760,목초,수원,1984,9260,10.8,-17.9,34.4,8,2,1172.8,72.6,2347.5,52.65,1.6
761,목초,수원,1984,10520,10.8,-17.9,34.4,8,2,1172.8,72.6,2347.5,52.65,1.6
762,목초,수원,1984,7850,10.8,-17.9,34.4,8,2,1172.8,72.6,2347.5,52.65,1.6
763,목초,수원,1984,7190,10.8,-17.9,34.4,8,2,1172.8,72.6,2347.5,52.65,1.6
764,목초,수원,1985,11030,11.3,-18.6,34.7,8,3,1491,72.8,2067.6,46.46,1.6
765,목초,수원,1985,8010,11.3,-18.6,34.7,8,3,1491,72.8,2067.6,46.46,1.6
766,목초,수원,1985,7700,11.3,-18.6,34.7,8,3,1491,72.8,2067.6,46.46,1.6
767,목초,수원,1985,6070,11.3,-18.6,34.7,8,3,1491,72.8,2067.6,46.46,1.6
768,목초,수원,1985,6580,11.3,-18.6,34.7,8,3,1491,72.8,2067.6,46.46,1.6
769,목초,수원,1984,6164,10.8,-17.9,34.4,8,2,1172.8,72.6,2347.5,52.65,1.6
770,목초,수원,1984,6484,10.8,-17.9,34.4,8,2,1172.8,72.6,2347.5,52.65,1.6
771,목초,수원,1984,6219,10.8,-17.9,34.4,8,2,1172.8,72.6,2347.5,52.65,1.6
772,목초,수원,1984,5856,10.8,-17.9,34.4,8,2,1172.8,72.6,2347.5,52.65,1.6
773,목초,수원,1984,6883,10.8,-17.9,34.4,8,2,1172.8,72.6,2347.5,52.65,1.6
774,목초,수원,1984,4011,10.8,-17.9,34.4,8,2,1172.8,72.6,2347.5,52.65,1.6
775,목초,수원,1984,3315,10.8,-17.9,34.4,8,2,1172.8,72.6,2347.5,52.65,1.6
776,목초,수원,1984,5292,10.8,-17.9,34.4,8,2,1172.8,72.6,2347.5,52.65,1.6
777,목초,수원,1984,5100,10.8,-17.9,34.4,8,2,1172.8,72.6,2347.5,52.65,1.6
778,목초,수원,1983,8950,11.4,-16.4,33.4,3,3,942.4,74.2,2270.4,51.02,1.5
779,목초,수원,1983,9050,11.4,-16.4,33.4,3,3,942.4,74.2,2270.4,51.02,1.5
780,목초,수원,1983,7930,11.4,-16.4,33.4,3,3,942.4,74.2,2270.4,51.02,1.5
781,목초,수원,1984,4660,10.8,-17.9,34.4,8,2,1172.8,72.6,2347.5,52.65,1.6
782,목초,수원,1984,4570,10.8,-17.9,34.4,8,2,1172.8,72.6,2347.5,52.65,1.6
783,목초,수원,1984,4660,10.8,-17.9,34.4,8,2,1172.8,72.6,2347.5,52.65,1.6
784,목초,수원,1984,5714,10.8,-17.9,34.4,8,2,1172.8,72.6,2347.5,52.65,1.6
785,목초,대전,1981,5484,11.4,-16.8,34.8,9,3,1206.5,75.2,2215.2,49.96,1.6
786,목초,대전,1981,6423,11.4,-16.8,34.8,9,3,1206.5,75.2,2215.2,49.96,1.6
787,목초,대전,1981,6582,11.4,-16.8,34.8,9,3,1206.5,75.2,2215.2,49.96,1.6
788,목초,대전,1981,6020,11.4,-16.8,34.8,9,3,1206.5,75.2,2215.2,49.96,1.6
789,목초,대전,1981,4474,11.4,-16.8,34.8,9,3,1206.5,75.2,2215.2,49.96,1.6
790,목초,대전,1981,4861,11.4,-16.8,34.8,9,3,1206.5,75.2,2215.2,49.96,1.6
791,목초,대전,1977,8346,12.2,-15.7,35.3,14,12,1099.1,71.9,2255.5,50.88,1.7
792,목초,대전,1977,8221,12.2,-15.7,35.3,14,12,1099.1,71.9,2255.5,50.88,1.7
793,목초,대전,1977,8437,12.2,-15.7,35.3,14,12,1099.1,71.9,2255.5,50.88,1.7
794,목초,대전,1977,17703,12.2,-15.7,35.3,14,12,1099.1,71.9,2255.5,50.88,1.7
795,목초,대전,1977,12649,12.2,-15.7,35.3,14,12,1099.1,71.9,2255.5,50.88,1.7
796,목초,대전,1977,17071,12.2,-15.7,35.3,14,12,1099.1,71.9,2255.5,50.88,1.7
