번호,품종,지역,연도,건물수량(kg/ha),연평균기온,최저기온,최고기온,고온일수,연속고온지속일수,강수량
775,목초,수원,1984,3315,10.8,-17.9,34.4,8,2,1172.8
776,목초,수원,1984,5292,10.8,-17.9,34.4,8,2,1172.8
777,목초,수원,1984,5100,10.8,-17.9,34.4,8,2,1172.8
778,목초,수원,1983,8950,11.4,-16.4,33.4,3,3,942.4
779,목초,수원,1983,9050,11.4,-16.4,33.4,3,3,942.4
780,목초,수원,1983,7930,11.4,-16.4,33.4,3,3,942.4
781,목초,수원,1984,4660,10.8,-17.9,34.4,8,2,1172.8
782,목초,수원,1984,4570,10.8,-17.9,34.4,8,2,1172.8
783,목초,수원,1984,4660,10.8,-17.9,34.4,8,2,1172.8
784,목초,수원,1984,5714,10.8,-17.9,34.4,8,2,1172.8
785,목초,대전,1981,5484,11.4,-16.8,34.8,9,3,1206.5
786,목초,대전,1981,6423,11.4,-16.8,34.8,9,3,1206.5
787,목초,대전,1981,6582,11.4,-16.8,34.8,9,3,1206.5
788,목초,대전,1981,6020,11.4,-16.8,34.8,9,3,1206.5
789,목초,대전,1981,4474,11.4,-16.8,34.8,9,3,1206.5
790,목초,대전,1981,4861,11.4,-16.8,34.8,9,3,1206.5
791,목초,대전,1977,8346,12.2,-15.7,35.3,14,12,1099.1
792,목초,대전,1977,8221,12.2,-15.7,35.3,14,12,1099.1
793,목초,대전,1977,8437,12.2,-15.7,35.3,14,12,1099.1
794,목초,대전,1977,17703,12.2,-15.7,35.3,14,12,1099.1
795,목초,대전,1977,12649,12.2,-15.7,35.3,14,12,1099.1
796,목초,대전,1977,17071,12.2,-15.7,35.3,14,12,1099.1
797,목초,대전,1977,12042,12.2,-15.7,35.3,14,12,1099.1
798,목초,대관령,2001,5508,7.5,-25.6,31.3,0,0,1551.7
799,목초,대관령,2002,7723,7.5,-19.2,30.6,0,0,2697.6
800,목초,대관령,2000,9830,6.9,-20.2,30.3,0,0,1559.4
801,목초,대관령,2001,5400,7.5,-25.6,31.3,0,0,1551.7
802,목초,대관령,2002,7994,7.5,-19.2,30.6,0,0,2697.6
803,목초,대관령,2000,10270,6.9,-20.2,30.3,0,0,1559.4
804,목초,대관령,2001,5924,7.5,-25.6,31.3,0,0,1551.7
805,목초,대관령,2002,6780,7.5,-19.2,30.6,0,0,2697.6
806,목초,대관령,2000,10860,6.9,-20.2,30.3,0,0,1559.4
807,목초,대관령,2001,5502,7.5,-25.6,31.3,0,0,1551.7
808,목초,대관령,2002,6089,7.5,-19.2,30.6,0,0,2697.6
809,목초,대관령,2000,9690,6.9,-20.2,30.3,0,0,1559.4
810,목초,대관령,2001,6505,7.5,-25.6,31.3,0,0,1551.7
811,목초,대관령,2002,8780,7.5,-19.2,30.6,0,0,2697.6
812,목초,대관령,2000,11740,6.9,-20.2,30.3,0,0,1559.4
