번호,품종,지역,연도,건물수량(kg/ha),연평균기온,최저기온,최고기온,고온일수,연속고온지속일수,강수량,평균 상대습도(%),합계 일조시간(hr),일조율(%),평균 풍속(m/s)
200,호밀,수원,2015,12030,13.5,-11.7,35.3,12,4,751.1,67.7,2450.3,55.03,1.8
201,호밀,전주,2015,5880,14.2,-10.1,35.3,13,10,813.5,69.7,2192.8,49.27,1.6
202,호밀,전주,2015,5950,14.2,-10.1,35.3,13,10,813.5,69.7,2192.8,49.27,1.6
203,호밀,청원,2015,9990,14,-10.8,36.4,12,6,756.9,59.1,2411.9,54.34,1.4
204,호밀,청원,2015,10890,14,-10.8,36.4,12,6,756.9,59.1,2411.9,54.34,1.4
205,호밀,대구,2015,4450,14.8,-8.9,38.3,21,16,908.5,64.6,2362,53.07,2.1
206,호밀,대구,2015,4510,14.8,-8.9,38.3,21,16,908.5,64.6,2362,53.07,2.1
207,호밀,수원,1999,9282,12.7,-11.9,34.8,11,4,1556.1,71.9,2244.2,50.43,1.7
208,호밀,성주,1999,8952,13.1,-12.3,35,7,4,1180.7,61.4,2285.2,51.37,1.5
209,호밀,수원,2000,8735,12.3,-13.9,34.2,11,4,1328.8,65.3,2124,47.62,1.7
210,호밀,성주,2000,7073,12.8,-11.4,35.4,23,6,1103.2,61.9,1722.1,50.25,1.6
211,호밀,천안,2002,7417,11.8,-15.3,34.7,4,2,1312.5,69,3004.1,67.47,1.4
212,호밀,성주,2002,10439,13,-9.1,34.9,12,2,1327.1,58.3,2127.3,47.8,1.4
213,호밀,천안,2003,11999,11.6,-23.8,32,0,0,1628.3,74.6,1984.2,44.56,1.7
214,호밀,성주,2003,10089,12.8,-11.8,34.5,4,2,1749.8,66.2,1900.4,42.7,1.3
215,호밀,천안,2006,17077,11.5,-15.6,33.5,6,3,1043.3,67.6,2010.9,45.15,1.8
216,호밀,성주,2006,7546,13,-12.1,37,22,19,1254.3,65.3,2012.9,45.22,1.5
217,호밀,천안,2007,19386,12.5,-13.6,34.9,3,2,1562.4,69.2,1934.1,43.43,1.7
218,호밀,성주,2007,13164,13.2,-8.1,34.5,14,6,1523.8,65.3,1854.4,41.66,1.6
